Type	Table	Name	Value	Description
	0070		FBLOOD	Blood, Fetal
	0070		FGA	Fluid,  Abdomen
	0070		FIB	Fibroblasts
	0070		FIST	Fistula
	0070		FLD	Fluid, Other
	0070		FLT	Filter
	0070		FLU	Body fluid, unsp
	0070		FLUID	Fluid
	0070		FOLEY	Catheter Tip, Foley
	0070		FRS	Fluid, Respiratory
	0070		FSCLP	Scalp, Fetal
	0070		FUR	Furuncle
	0070		GAS	Gas
	0070		GASA	Aspirate, Gastric
	0070		GASAN	Antrum, Gastric
	0070		GASBR	Brushing, Gastric
	0070		GASD	Drainage, Gastric
	0070		GAST	Gastric fluid/contents
	0070		GEN	Genital
	0070		GENC	Genital cervix
	0070		GENL	Genital lochia
	0070		GENV	Genital vaginal
	0070		GRAFT	Graft
	0070		GRANU	Granuloma
	0070		GROSH	Catheter, Groshong
	0070		GSOL	Solution, Gastrostomy
	0070		GSPEC	Biopsy, Gastric
	0070		GT	Tube, Gastric
	0070		GTUBE	Drainage Tube, Drainage (Gastrostomy)
	0070		HAR	Hair
	0070		HBITE	Bite, Human
	0070		HBLUD	Blood, Autopsy
	0070		HEMAQ	Catheter Tip, Hemaquit
	0070		HEMO	Catheter Tip, Hemovac
	0070		HERNI	Tissue, Herniated
	0070		HEV	Drain, Hemovac
	0070		HIC	Catheter, Hickman
	0070		HYDC	Fluid, Hydrocele
	0070		IBITE	Bite, Insect
	0070		ICYST	Cyst, Inclusion
	0070		IDC	Catheter Tip, Indwelling
	0070		IHG	Inhaled Gas
	0070		ILEO	Drainage, Ileostomy
	0070		ILLEG	Source of Specimen Is Illegible
	0070		IMP	Implant
	0070		INCI	Site, Incision/Surgical
	0070		INFIL	Infiltrate
	0070		INS	Insect
	0070		INTRD	Catheter Tip, Introducer
	0070		ISLT	Isolate
	0070		IT	Intubation tube
	0070		IUD	Intrauterine Device
	0070		IVCAT	Catheter Tip, IV
	0070		IVFLD	Fluid, IV
	0070		IVTIP	Tubing Tip, IV
	0070		JEJU	Drainage, Jejunal
	0070		JNTFLD	Fluid, Joint
	0070		JP	Drainage, Jackson Pratt
	0070		KELOI	Lavage
	0070		KIDFLD	Fluid, Kidney
	0070		LAM	Lamella
	0070		LAVG	Lavage, Bronhial
	0070		LAVGG	Lavage, Gastric
	0070		LAVGP	Lavage, Peritoneal
	0070		LAVPG	Lavage, Pre-Bronch
	0070		LENS1	Contact Lens
	0070		LENS2	Contact Lens Case
	0070		LESN	Lesion
	0070		LIQ	Liquid NOS
	0070		LIQO	Liquid, Other
	0070		LN	Line
	0070		LNA	Line arterial
	0070		LNV	Line venous
	0070		LSAC	Fluid, Lumbar Sac
	0070		LYM	Lymphocytes
	0070		MAC	Macrophages
	0070		MAHUR	Catheter Tip, Makurkour
	0070		MAR	Marrow
	0070		MASS	Mass
	0070		MBLD	Menstrual blood
	0070		MEC	Meconium
	0070		MILK	Breast milk
	0070		MLK	Milk
	0070		MUCOS	Mucosa
	0070		MUCUS	Mucus
	0070		NAIL	Nail
	0070		NASDR	Drainage, Nasal
	0070		NEDL	Needle
	0070		NEPH	Site, Nephrostomy
	0070		NGASP	Aspirate, Nasogastric
	0070		NGAST	Drainage, Nasogastric
	0070		NGS	Site, Naso/Gastric
	0070		NODUL	Nodule(s)
	0070		NOS	Nose (nasal passage)
	0070		NSECR	Secretion, Nasal
	0070		ORH	Other
	0070		ORL	Lesion, Oral
	0070		OTH	Source, Other
	0070		PACEM	Pacemaker
	0070		PAFL	Pancreatic fluid
	0070		PAT	Patient
	0070		PCFL	Fluid, Pericardial
	0070		PDSIT	Site, Peritoneal Dialysis
	0070		PDTS	Site, Peritoneal Dialysis Tunnel
	0070		PELVA	Abscess, Pelvic
	0070		PENIL	Lesion, Penile
	0070		PERIA	Abscess, Perianal
	0070		PILOC	Cyst, Pilonidal
	0070		PINS	Site, Pin
	0070		PIS	Site, Pacemaker Insetion
	0070		PLAN	Plant Material
	0070		PLAS	Plasma
	0070		PLB	Plasma bag
	0070		PLC	Placenta
	0070		PLEVS	Serum, Peak Level
	0070		PLR	Pleural fluid (thoracentesis fld)
	0070		PMN	Polymorphonuclear neutrophils
	0070		PND	Drainage, Penile
	0070		POL	Polyps
	0070		POPGS	Graft Site, Popliteal
	0070		POPLG	Graft, Popliteal
	0070		POPLV	Site, Popliteal Vein
	0070		PORTA	Catheter, Porta
	0070		PPP	Platelet poor plasma
	0070		PROST	Prosthetic Device
	0070		PRP	Platelet rich plasma
	0070		PRT	Peritoneal fluid /ascites
	0070		PSC	Pseudocyst
	0070		PUNCT	Wound, Puncture
	0070		PUS	Pus
	0070		PUSFR	Pustule
	0070		PUST	Pus
	0070		QC3	Quality Control
	0070		RANDU	Urine, Random
	0070		RBC	Erythrocytes
	0070		RBITE	Bite, Reptile
	0070		RECT	Drainage, Rectal
	0070		RECTA	Abscess, Rectal
	0070		RENALC	Cyst, Renal
	0070		RENC	Fluid, Renal Cyst
	0070		RES	Respiratory
	0070		RT	Route of medicine
	0070		SAL	Saliva
	0070		SCAR	Tissue, Keloid (Scar)
	0070		SCLV	Catheter Tip, Subclavian
	0070		SCROA	Abscess, Scrotal
	0070		SECRE	Secretion(s)
	0070		SER	Serum
	0070		SHU	Site, Shunt
	0070		SHUNF	Fluid, Shunt
	0070		SHUNT	Shunt
	0070		SITE	Site
	0070		SKBP	Biopsy, Skin
	0070		SKM	Skeletal muscle
	0070		SKN	Skin
	0070		SMM	Mass, Sub-Mandibular
	0070		SMN	Seminal fluid
	0070		SNV	Synovial fluid (Joint fluid)
	0070		SPRM	Spermatozoa
	0070		SPRP	Catheter Tip, Suprapubic
	0070		SPRPB	Cathether Tip, Suprapubic
	0070		SPS	Environmental, Spore Strip
	0070		SPT	Sputum
	0070		SPTC	Sputum - coughed
	0070		SPTT	Sputum - tracheal aspirate
	0070		SPUT1	Sputum, Simulated
	0070		SPUTIN	Sputum, Inducted
	0070		SPUTSP	Sputum, Spontaneous
	0070		STER	Environmental, Sterrad
	0070		STL	Stool = Fecal
	0070		STON	Stone (use CALC)
	0070		STONE	Stone, Kidney
	0070		SUBMA	Abscess, Submandibular
	0070		SUBMX	Abscess, Submaxillary
	0070		SUMP	Drainage, Sump
	0070		SUP	Suprapubic Tap
	0070		SUTUR	Suture
	0070		SWGZ	Catheter Tip, Swan Gantz
	0070		SWT	Sweat
	0070		TASP	Aspirate, Tracheal
	0070		TEAR	Tears
	0070		THRB	Thrombocyte (platelet)
	0070		THRT	Throat
	0070		TISG	Tissue gall bladder
	0070		TISPL	Tissue placenta
	0070		TISS	Tissue
	0070		TISU	Tissue ulcer
	0070		TLC	Cathether Tip, Triple Lumen
	0070		TLGI	Tissue large intestine
	0070		TLNG	Tissue lung
	0070		TRAC	Site, Tracheostomy
	0070		TRANS	Transudate
	0070		TSERU	Serum, Trough
	0070		TSMI	Tissue small intestine
	0070		TSTES	Abscess, Testicular
	0070		TTRA	Aspirate, Transtracheal
	0070		TUB	Tube NOS
	0070		TUBES	Tubes
	0070		TUMOR	Tumor
	0070		TZANC	Smear, Tzanck
	0070		UDENT	Source, Unidentified
	0070		ULC	Ulcer
	0070		UMB	Umbilical blood
	0070		UMED	Unknown medicine
	0070		UR	Urine
	0070		URC	Urine clean catch
	0070		URINB	Urine, Bladder Washings
	0070		URINC	Urine, Catheterized
	0070		URINM	Urine, Midstream
	0070		URINN	Urine, Nephrostomy
	0070		URINP	Urine, Pedibag
	0070		URNS	Urine sediment
	0070		URT	Urine catheter
	0070		URTH	Urethra
	0070		USCOP	Urine, Cystoscopy
	0070		USPEC	Source, Unspecified
	0070		USUB	Unknown substance
	0070		VASTIP	Catheter Tip, Vas
	0070		VENT	Catheter Tip, Ventricular
	0070		VITF	Vitreous Fluid
	0070		VOM	Vomitus
	0070		WASH	Wash
	0070		WASI	Washing, e.g. bronchial washing
	0070		WAT	Water
	0070		WB	Blood, Whole
	0070		WBC	Leukocytes
	0070		WEN	Wen
	0070		WICK	Wick
	0070		WND	Wound
	0070		WNDA	Wound abscess
	0070		WNDD	Wound drainage
	0070		WNDE	Wound exudate
	0070		WORM	Worm
	0070		WRT	Wart
	0070		WWA	Environmental, Water
	0070		WWO	Environmental, Water (Ocean)
	0070		WWT	Environmental, Water  (Tap)
	0070		XXX	To be specified in another part of the message
HL7		Diagnostic Service Section ID		
	0074		AU	Audiology
	0074		BG	Blood Gases
	0074		BLB	Blood Bank
	0074		CH	Chemistry
	0074		CP	Cytopathology
	0074		CT	CAT Scan
	0074		CTH	Cardiac Catheterization
	0074		CUS	Cardiac Ultrasound
	0074		EC	Electrocardiac (e.g., EKG,  EEC, Holter)
	0074		EN	Electroneuro (EEG, EMG,EP,PSG)
	0074		HM	Hematology
	0074		ICU	Bedside ICU Monitoring
	0074		IMM	Immunology
	0074		LAB	Laboratory
	0074		MB	Microbiology
	0074		MCB	Mycobacteriology
	0074		MYC	Mycology
	0074		NMR	Nuclear Magnetic Resonance
	0074		NMS	Nuclear Medicine Scan
	0074		NRS	Nursing Service Measures
	0074		OSL	Outside Lab
	0074		OT	Occupational Therapy
	0074		OTH	Other
	0074		OUS	OB Ultrasound
	0074		PF	Pulmonary Function
	0074		PHR	Pharmacy
	0074		PHY	Physician (Hx. Dx, admission note, etc.)
	0074		PT	Physical Therapy
	0074		RAD	Radiology
	0074		RC	Respiratory Care (therapy)
	0074		RT	Radiation Therapy
	0074		RUS	Radiology Ultrasound
	0074		RX	Radiograph
	0074		SP	Surgical Pathology
	0074		SR	Serology
	0074		TX	Toxicology
	0074		VR	Virology
	0074		VUS	Vascular Ultrasound
	0074		XRC	Cineradiograph
HL7		Message type		
	0076		ACK	General acknowledgment message
	0076		ADR	ADT response
	0076		ADT	ADT message
	0076		BAR	Add/change billing account
	0076		BPS	Blood product dispense status message
	0076		BRP	Blood product dispense status acknowledgement message
	0076		BRT	Blood product transfusion/disposition acknowledgement message
	0076		BTS	Blood product transfusion/disposition message
	0076		CRM	Clinical study registration message
	0076		CSU	Unsolicited study data message
	0076		DFT	Detail financial transactions
	0076		DOC	Document response
	0076		DSR	Display response
	0076		EAC	Automated equipment command message
	0076		EAN	Automated equipment notification message
	0076		EAR	Automated equipment response message
	0076		EDR	Enhanced display response
	0076		EQQ	Embedded query language query
	0076		ERP	Event replay response
	0076		ESR	Automated equipment status update acknowledgment message
	0076		ESU	Automated equipment status update message
	0076		INR	Automated equipment inventory request message
	0076		INU	Automated equipment inventory update message
	0076		LSR	Automated equipment log/service request message
	0076		LSU	Automated equipment log/service update message
	0076		MCF	Delayed Acknowledgment (Retained for backward compatibility only)
	0076		MDM	Medical document management
	0076		MFD	Master files delayed application acknowledgment
	0076		MFK	Master files application acknowledgment
	0076		MFN	Master files notification
	0076		MFQ	Master files query
	0076		MFR	Master files response
	0076		NMD	Application management data message
	0076		NMQ	Application management query message
	0076		NMR	Application management response message
	0076		OMB	Blood product order message
	0076		OMD	Dietary order
	0076		OMG	General clinical order message
	0076		OMI	Imaging order
	0076		OML	Laboratory order message
	0076		OMN	Non-stock requisition order message
	0076		OMP	Pharmacy/treatment order message
	0076		OMS	Stock requisition order message
	0076		ORB	Blood product order acknowledgement message
	0076		ORD	Dietary order acknowledgment message
	0076		ORF	Query for results of observation
	0076		ORG	General clinical order acknowledgment message
	0076		ORI	Imaging order acknowledgement message
	0076		ORL	Laboratory acknowledgment message (unsolicited)
	0076		ORM	Pharmacy/treatment order message
	0076		ORN	Non-stock requisition - General order acknowledgment message
	0076		ORP	Pharmacy/treatment order acknowledgment message
	0076		ORR	General order response message response to any ORM
	0076		ORS	Stock requisition - Order acknowledgment message
	0076		ORU	Unsolicited transmission of an observation message
	0076		OSQ	Query response for order status
	0076		OSR	Query response for order status
	0076		OUL	Unsolicited laboratory observation message
	0076		PEX	Product experience message
	0076		PGL	Patient goal message
	0076		PIN	Patient insurance information
	0076		PMU	Add personnel record
	0076		PPG	Patient pathway message (goal-oriented)
	0076		PPP	Patient pathway message (problem-oriented)
	0076		PPR	Patient problem message
	0076		PPT	Patient pathway goal-oriented response
	0076		PPV	Patient goal response
	0076		PRR	Patient problem response
	0076		PTR	Patient pathway problem-oriented response
	0076		QBP	Query by parameter
	0076		QCK	Deferred query
	0076		QCN	Cancel query
	0076		QRY	Query, original mode
	0076		QSB	Create subscription
	0076		QSX	Cancel subscription/acknowledge message
	0076		QVR	Query for previous events
	0076		RAR	Pharmacy/treatment administration information
	0076		RAS	Pharmacy/treatment administration message
	0076		RCI	Return clinical information
	0076		RCL	Return clinical list
	0076		RDE	Pharmacy/treatment encoded order message
	0076		RDR	Pharmacy/treatment dispense information
	0076		RDS	Pharmacy/treatment dispense message
	0076		RDY	Display based response
	0076		REF	Patient referral
	0076		RER	Pharmacy/treatment encoded order information
	0076		RGR	Pharmacy/treatment dose information
	0076		RGV	Pharmacy/treatment give message
	0076		ROR	Pharmacy/treatment order response
	0076		RPA	Return patient authorization
	0076		RPI	Return patient information
	0076		RPL	Return patient display list
	0076		RPR	Return patient list
	0076		RQA	Request patient authorization
	0076		RQC	Request clinical information
	0076		RQI	Request patient information
	0076		RQP	Request patient demographics
	0076		RQQ	Event replay query
	0076		RRA	Pharmacy/treatment administration acknowledgment message
	0076		RRD	Pharmacy/treatment dispense acknowledgment message
	0076		RRE	Pharmacy/treatment encoded order acknowledgment message
	0076		RRG	Pharmacy/treatment give acknowledgment message
	0076		RRI	Return referral information
	0076		RSP	Segment pattern response
	0076		RTB	Tabular response
	0076		SIU	Schedule information unsolicited
	0076		SPQ	Stored procedure request
	0076		SQM	Schedule query message
	0076		SQR	Schedule query response
	0076		SRM	Schedule request message
	0076		SRR	Scheduled request response
	0076		SSR	Specimen status request message
	0076		SSU	Specimen status update message
	0076		SUR	Summary product experience report
	0076		TBR	Tabular data response
	0076		TCR	Automated equipment test code settings request message
	0076		TCU	Automated equipment test code settings update message
	0076		UDM	Unsolicited display update message
	0076		VQQ	Virtual table query
	0076		VXQ	Query for vaccination record
	0076		VXR	Vaccination record response
	0076		VXU	Unsolicited vaccination record update
	0076		VXX	Response for vaccination query with multiple PID matches
User		Abnormal flags		
	0078		<	Below absolute low-off instrument scale
	0078		>	Above absolute high-off instrument scale
	0078		A	Abnormal (applies to non-numeric results)
	0078		AA	Very abnormal (applies to non-numeric units, analogous to panic limits for numeric units)
	0078		B	Better--use when direction not relevant
	0078		D	Significant change down
	0078		H	Above high normal
	0078		HH	Above upper panic limits
	0078		I	Intermediate. Indicates for microbiology susceptibilities only.
	0078		L	Below low normal
	0078		LL	Below lower panic limits
	0078		MS	Moderately susceptible. Indicates for microbiology susceptibilities only.
	0078		N	Normal (applies to non-numeric results)
	0078		null	No range defined, or normal ranges don't apply
	0078		R	Resistant. Indicates for microbiology susceptibilities only.
	0078		S	Susceptible. Indicates for microbiology susceptibilities only.
	0078		U	Significant change up
	0078		VS	Very susceptible. Indicates for microbiology susceptibilities only.
	0078		W	Worse--use when direction not relevant
HL7		Nature of Abnormal Testing		
	0080		A	An age-based population
	0080		B	Breed
	0080		N	None - generic normal range
	0080		R	A race-based population
	0080		S	A sex-based population
	0080		SP	Species
	0080		ST	Strain
User		Outlier Type		
	0083		C	Outlier cost
	0083		D	Outlier days
HL7		Observation result status codes interpretation		
	0085		C	Record coming over is a correction and thus replaces a final result
	0085		D	Deletes the OBX record
	0085		F	Final results; Can only be changed with a corrected result.
	0085		I	Specimen in lab; results pending
	0085		N	Not asked; used to affirmatively document that the observation identified in the OBX was not sought when the universal service ID in OBR-4 implies that it would be sought.
	0085		O	Order detail description only (no result)
	0085		P	Preliminary results
	0085		R	Results entered -- not verified
	0085		S	Partial results
	0085		U	Results status change to final without retransmitting results already sent as _preliminary._  E.g., radiology changes status from preliminary to final
	0085		W	Post original as wrong, e.g., transmitted for wrong patient
	0085		X	Results cannot be obtained for this observation
HL7		Query priority		
	0091		D	Deferred
	0091		I	Immediate
User		Re-Admission Indicator		
	0092		R	Re-admission
User		Release Information		
	0093		_	user-defined codes
	0093		N	No
	0093		Y	Yes
User		Type of Agreement		
	0098		M	Maternity
	0098		S	Standard
	0098		U	Unified
HL7		Invocation event		
	0100		D	On discharge
	0100		O	On receipt of order
	0100		R	At time service is completed
	0100		S	At time service is started
	0100		T	At a designated date/time
HL7		Processing ID		
	0103		D	Debugging
	0103		P	Production
	0103		T	Training
HL7		Version ID		
	0104		2.0	Release 2.0
	0104		2.0D	Demo 2.0
	0104		2.1	Release 2. 1
	0104		2.2	Release 2.2
	0104		2.3	Release 2.3
	0104		2.3.1	Release 2.3.1
	0104		2.4	Release 2.4
	0104		2.5	Release 2.5
HL7		Source of comment		
	0105		L	Ancillary (filler) department is source of comment
	0105		O	Other system is source of comment
	0105		P	Orderer (placer) is source of comment
HL7		Query/response format code		
	0106		D	Response is in display format
	0106		R	Response is in record-oriented format
	0106		T	Response is in tabular format
HL7		Deferred response type		
	0107		B	Before the Date/Time specified
	0107		L	Later than the Date/Time specified
HL7		Query results level		
	0108		O	Order plus order status
	0108		R	Results without bulk text
	0108		S	Status only
	0108		T	Full results
HL7		Report priority		
	0109		R	Routine
	0109		S	Stat
User		Discharge Disposition		
	0112		01	Discharged to home or self care (routine discharge)
	0112		02	Discharged/transferred to another short term general hospital for inpatient care
	0112		03	Discharged/transferred to skilled nursing facility (SNF)
	0112		04	Discharged/transferred to an intermediate care facility (ICF)
	0112		05	Discharged/transferred to another type of institution for inpatient care or referred for outpatient services to another institution
	0112		06	Discharged/transferred to home under care of organized home health service organization
	0112		07	Left against medical advice or discontinued care
	0112		08	Discharged/transferred to home under care of Home IV provider
	0112		09	Admitted as an inpatient to this hospital
	0112		10 _19	Discharge to be defined at state level, if necessary
	0112		20	Expired (i.e. dead)
	0112		21 ... 29	Expired to be defined at state level, if necessary
	0112		30	Still patient or expected to return for outpatient services (i.e. still a patient)
	0112		31 _ 39	Still patient to be defined at state level, if necessary  (i.e. still a patient)
	0112		40	Expired (i.e. died) at home
	0112		41	Expired (i.e. died) in a medical facility; e.g., hospital, SNF, ICF, or free standing hospice
	0112		42	Expired (i.e. died)  - place unknown
User		Bed Status		
	0116		C	Closed
	0116		H	Housekeeping
	0116		I	Isolated
	0116		K	Contaminated
	0116		O	Occupied
	0116		U	Unoccupied
HL7		Order control codes		
	0119		AF	Order/service refill request approval
	0119		CA	Cancel order/service request
	0119		CH	Child order/service
	0119		CN	Combined result
	0119		CR	Canceled as requested
	0119		DC	Discontinue order/service request
	0119		DE	Data errors
	0119		DF	Order/service refill request denied
	0119		DR	Discontinued as requested
	0119		FU	Order/service refilled, unsolicited
	0119		HD	Hold order request
	0119		HR	On hold as requested
	0119		LI	Link order/service to patient care problem or goal
	0119		NA	Number assigned
	0119		NW	New order/service
	0119		OC	Order/service canceled
	0119		OD	Order/service discontinued
	0119		OE	Order/service released
	0119		OF	Order/service refilled as requested
	0119		OH	Order/service held
	0119		OK	Order/service accepted & OK
	0119		OP	Notification of order for outside dispense
	0119		OR	Released as requested
	0119		PA	Parent order/service
	0119		PR	Previous Results with new order/service
	0119		PY	Notification of replacement order for outside dispense
	0119		RE	Observations/Performed Service to follow
	0119		RF	Refill order/service request
	0119		RL	Release previous hold
	0119		RO	Replacement order
	0119		RP	Order/service replace request
	0119		RQ	Replaced as requested
	0119		RR	Request received
	0119		RU	Replaced unsolicited
	0119		SC	Status changed
	0119		SN	Send order/service number
	0119		SR	Response to send order/service status request
	0119		SS	Send order/service status request
	0119		UA	Unable to accept order/service
	0119		UC	Unable to cancel
	0119		UD	Unable to discontinue
	0119		UF	Unable to refill
	0119		UH	Unable to put on hold
	0119		UM	Unable to replace
	0119		UN	Unlink order/service from patient care problem or goal
	0119		UR	Unable to release
	0119		UX	Unable to change
	0119		XO	Change order/service request
	0119		XR	Changed as requested
	0119		XX	Order/service changed, unsol.
HL7		Response flag		
	0121		D	Same as R, also other associated segments
	0121		E	Report exceptions only
	0121		F	Same as D, plus confirmations explicitly
	0121		N	Only the MSA segment is returned
	0121		R	Same as E, also Replacement and Parent-Child
HL7		Charge type		
	0122		CH	Charge
	0122		CO	Contract
	0122		CR	Credit
	0122		DP	Department
	0122		GR	Grant
	0122		NC	No Charge
	0122		PC	Professional
	0122		RS	Research
HL7		Result Status		
	0123		A	Some, but not all, results available
	0123		C	Correction to results
	0123		F	Final results; results stored and verified.  Can only be changed with a corrected result.
	0123		I	No results available; specimen received, procedure incomplete
	0123		O	Order received; specimen not yet received
	0123		P	Preliminary: A verified early result is available, final results not yet obtained
	0123		R	Results stored; not yet verified
	0123		S	No results available; procedure scheduled, but not done
	0123		X	No results available; Order canceled.
	0123		Y	No order on record for this test.  (Used only on queries)
	0123		Z	No record of this patient. (Used only on queries)
HL7		Transportation Mode		
	0124		CART	Cart - patient travels on cart or gurney
	0124		PORT	The examining device goes to patient's location
	0124		WALK	Patient walks to diagnostic service
	0124		WHLC	Wheelchair
HL7		Value type		
	0125		AD	Address
	0125		CE	Coded Entry
	0125		CF	Coded Element With Formatted Values
	0125		CK	Composite ID With Check Digit
	0125		CN	Composite ID And Name
	0125		CP	Composite Price
	0125		CX	Extended Composite ID With Check Digit
	0125		DT	Date
	0125		ED	Encapsulated Data
	0125		FT	Formatted Text (Display)
	0125		MO	Money
	0125		NM	Numeric
	0125		PN	Person Name
	0125		RP	Reference Pointer
	0125		SN	Structured Numeric
	0125		ST	String Data.
	0125		TM	Time
	0125		TN	Telephone Number
	0125		TS	Time Stamp (Date & Time)
	0125		TX	Text Data (Display)
	0125		XAD	Extended Address
	0125		XCN	Extended Composite Name And Number For Persons
	0125		XON	Extended Composite Name And Number For Organizations
	0125		XPN	Extended Person Name
	0125		XTN	Extended Telecommunications Number
HL7		Quantity limited request		
	0126		CH	Characters
	0126		LI	Lines
	0126		PG	Pages
	0126		RD	Records
	0126		ZO	Locally defined
User		Allergen Type		
	0127		AA	Animal Allergy
	0127		DA	Drug allergy
	0127		EA	Environmental Allergy
	0127		FA	Food allergy
	0127		LA	Pollen Allergy
	0127		MA	Miscellaneous allergy
	0127		MC	Miscellaneous contraindication
	0127		PA	Plant Allergy
User		Allergy Severity		
	0128		MI	Mild
	0128		MO	Moderate
	0128		SV	Severe
	0128		U	Unknown
User		Visit User Code		
	0130		HO	Home
	0130		MO	Mobile Unit
	0130		PH	Phone
	0130		TE	Teaching
User		Contact Role		
	0131		C	Emergency Contact
	0131		E	Employer
	0131		F	Federal Agency
	0131		I	Insurance Company
	0131		N	Next-of-Kin
	0131		O	Other
	0131		S	State Agency
	0131		U	Unknown
User		Procedure Practitioner Identifier Code Type		
	0133		AN	Anesthesiologist/Anesthetist
	0133		AS	Assistant Surgeon
	0133		CM	Certified Nurse Midwife
	0133		NP	Nurse Practitioner
	0133		PR	Procedure MD/ Surgeon
	0133		PS	Primary Surgeon
	0133		RD	Radiologist
	0133		RS	Resident
	0133		SN	Scrub Nurse
User		Assignment of Benefits		
	0135		M	Modified assignment
	0135		N	No
	0135		Y	Yes
HL7		Yes/no indicator		
	0136		N	No
	0136		Y	Yes
User		Mail Claim Party		
	0137		E	Employer
	0137		G	Guarantor
	0137		I	Insurance company
	0137		O	Other
	0137		P	Patient
User		Military Service		
	0140		AUSA	Australian Army
	0140		AUSAF	Australian Air Force
	0140		AUSN	Australian Navy
	0140		NATO	North Atlantic Treaty Organization
	0140		NOAA	National Oceanic and Atmospheric Administration
	0140		USA	US Army
	0140		USAF	US Air Force
	0140		USCG	US Coast Guard
	0140		USMC	US Marine Corps
	0140		USN	US Navy
	0140		USPHS	US Public Health Service
User		Military Rank/Grade		
	0141		E1... E9	Enlisted
	0141		O1 ... O9	Officers
	0141		W1 ... W4	Warrant Officers
User		Military Status		
	0142		ACT	Active duty
	0142		DEC	Deceased
	0142		RET	Retired
User		Eligibility Source		
	0144		1	Insurance company
	0144		2	Employer
	0144		3	Insured presented policy
	0144		4	Insured presented card
	0144		5	Signed statement on file
	0144		6	Verbal information
	0144		7	None
User		Room type		
	0145		2ICU	Second intensive care unit
	0145		2PRI	Second private room
	0145		2SPR	Second semi-private room
	0145		ICU	Intensive care unit
	0145		PRI	Private room
	0145		SPR	Semi-private room
User		Amount type		
	0146		DF	Differential
	0146		LM	Limit
	0146		PC	Percentage
	0146		RT	Rate
	0146		UL	Unlimited
User		Policy type		
	0147		2ANC	Second ancillary
	0147		2MMD	Second major medical
	0147		3MMD	Third major medical
	0147		ANC	Ancillary
	0147		MMD	Major medical
HL7		Money or percentage indicator		
	0148		AT	Currency amount
	0148		PC	Percentage
User		Day type		
	0149		AP	Approved
	0149		DE	Denied
	0149		PE	Pending
User		Certification patient type		
	0150		ER	Emergency
	0150		IPE	Inpatient elective
	0150		OPE	Outpatient elective
	0150		UR	Urgent
HL7		Accept/application acknowledgment conditions		
	0155		AL	Always
	0155		ER	Error/reject conditions only
	0155		NE	Never
	0155		SU	Successful completion only
HL7		Which date/time qualifier		
	0156		ANY	Any date/time within a range
	0156		COL	Collection date/time, equivalent to film or sample collection date/time
	0156		ORD	Order date/time
	0156		RCT	Specimen receipt date/time, receipt of specimen in filling ancillary (Lab)
	0156		REP	Report date/time, report date/time at filing ancillary (i.e., Lab)
	0156		SCHED	Schedule date/time
HL7		Which date/time status qualifier		
	0157		ANY	Any status
	0157		CFN	Current final value, whether final or corrected
	0157		COR	Corrected only (no final with corrections)
	0157		FIN	Final only (no corrections)
	0157		PRE	Preliminary
	0157		REP	Report completion date/time
HL7		Date/time selection qualifier		
	0158		1ST	First value within range
	0158		ALL	All values within the range
	0158		LST	Last value within the range
	0158		REV	All values within the range returned in reverse chronological order (This is the default if not otherwise specified.)
HL7		Diet Code Specification Type		
	0159		D	Diet
	0159		P	Preference
	0159		S	Supplement
HL7		Tray Type		
	0160		EARLY	Early tray
	0160		GUEST	Guest tray
	0160		LATE	Late tray
	0160		MSG	Tray message only
	0160		NO	No tray
HL7		Allow Substitution		
	0161		G	Allow generic substitutions.
	0161		N	Substitutions are NOT authorized.  (This is the default - null.)
	0161		T	Allow therapeutic substitutions
HL7		Route of Administration		
	0162		AP	Apply Externally
	0162		B	Buccal
	0162		DT	Dental
	0162		EP	Epidural
	0162		ET	Endotrachial Tube*
	0162		GTT	Gastrostomy Tube
	0162		GU	GU Irrigant
	0162		IA	Intra-arterial
	0162		IB	Intrabursal
	0162		IC	Intracardiac
	0162		ICV	Intracervical (uterus)
	0162		ID	Intradermal
	0162		IH	Inhalation
	0162		IHA	Intrahepatic Artery
	0162		IM	Intramuscular
	0162		IMR	Immerse (Soak) Body Part
	0162		IN	Intranasal
	0162		IO	Intraocular
	0162		IP	Intraperitoneal
	0162		IS	Intrasynovial
	0162		IT	Intrathecal
	0162		IU	Intrauterine
	0162		IV	Intravenous
	0162		MM	Mucous Membrane
	0162		MTH	Mouth/Throat
	0162		NG	Nasogastric
	0162		NP	Nasal Prongs*
	0162		NS	Nasal
	0162		NT	Nasotrachial Tube
	0162		OP	Ophthalmic
	0162		OT	Otic
	0162		OTH	Other/Miscellaneous
	0162		PF	Perfusion
	0162		PO	Oral
	0162		PR	Rectal
	0162		RM	Rebreather Mask*
	0162		SC	Subcutaneous
	0162		SD	Soaked Dressing
	0162		SL	Sublingual
	0162		TD	Transdermal
	0162		TL	Translingual
	0162		TP	Topical
	0162		TRA	Tracheostomy*
	0162		UR	Urethral
	0162		VG	Vaginal
	0162		VM	Ventimask
	0162		WND	Wound
HL7		Body site		
	0163		BE	Bilateral Ears
	0163		BN	Bilateral Nares
	0163		BU	Buttock
	0163		CT	Chest Tube
	0163		LA	Left Arm
	0163		LAC	Left Anterior Chest
	0163		LACF	Left Antecubital Fossa
	0163		LD	Left Deltoid
	0163		LE	Left Ear
	0163		LEJ	Left External Jugular
	0163		LF	Left Foot
	0163		LG	Left Gluteus Medius
	0163		LH	Left Hand
